1910,1
1911,0
1912,2
1913,0
1914,1
1915,3
1916,2
1917,3
1918,3
1919,5
1920,3
1921,13
1922,10
1923,13
1924,14
1925,16
1926,19
1927,13
1928,17
1929,19
1930,6
1931,18
1932,33
1933,46
1934,46
1935,52
1936,54
1937,72
1938,63
1939,80
1940,90
1941,78
1942,99
1943,74
1944,71
1945,82
1946,59
1947,70
1948,90
1949,99
1950,86
1951,103
1952,152
1953,184
1954,212
1955,244
1956,272
1957,293
1958,311
1959,314
1960,365
1961,404
1962,393
1963,445
1964,550
1965,548
1966,572
1967,560
1968,659
1969,755
1970,764
1971,809
1972,891
1973,938
1974,973
1975,918
1976,895
1977,934
1978,937
1979,1061
1980,1181
1981,1290
1982,1342
1983,1142
1984,1075
1985,940
1986,835
1987,622
1988,483
1989,284
1990,118
1991,51
1992,16
1993,4
1994,0
1995,2
1996,0
1997,0
1998,0
1999,0
