금정,2013,B25,경상남도,양산시
기백,2013,B26,서울시,서초구
김앤장,1973,B27,서울시,종로구
나라,1995,B28,서울시,서초구
나무,2002,B29,서울시,서초구
가교,2010,B3,서울시,노원구
나우,1998,B30,서울시,광진구
광장,1984,B300,서울시,중구
대전종합,1984,B301,충남,논산시
동방종합,1984,B302,서울시,중구
세종,1984,B303,서울시,서대문구
태평양,1984,B304,서울시,강남구
대종,1986,B305,서울시,종로구
을지,1986,B306,서울시,서초구
동화,1987,B307,서울시,서초구
화인,1988,B308,서울시,광진구
동수원,1989,B309,서울시,서초구
남부제일,2007,B31,서울시,영등포구
가야,1992,B310,경상북도,김천시
세창,1992,B311,서울시,서초구
동일,1993,B312,서울시,송파구
시민,1993,B313,서울시,서초구
충정,1993,B314,서울시,강남구
해마루,1993,B315,서울시,서초구
우성,1994,B316,서울시,도봉구
정률,1994,B317,서울시,강남구
청해,1994,B318,부산시,해운대구
광명,1995,B319,서울시,서초구
남부종합,2000,B32,서울시,양천구
부산,1995,B320,부산시,서구
부일,1995,B321,경기도,부천시
신세기,1995,B322,서울시,강남구
푸른,1996,B323,서울시,중구
남도,1997,B324,전라남도,순천시
대경종합,1997,B325,대구시,수성구
세계,1997,B326,서울시,서초구
율촌,1997,B327,서울시,강남구
한결,1997,B328,서울시,종로구
한맥,1997,B329,서울시,서초구
남앤드남,2005,B33,서울시,중구
바른,1998,B330,서울시,강남구
천지인,1998,B331,서울시,서초구
한밭,1998,B332,충남,서산시
한얼,1998,B333,서울시,강남구
한중,1998,B334,서울시,서초구
동래,1999,B335,부산시,연제구
새한양,1999,B336,서울시,서초구
창조,1999,B337,서울시,서초구
하나,1999,B338,서울시,강동구
내외,1995,B34,경상남도,창원시
네이버스,2013,B35,서울시,종로구
넥스트로,2007,B36,서울시,서초구
다산,1990,B37,서울시,서초구
다임,2011,B38,서울시,서초구
대교,2005,B39,서울시,서초구
가족,2011,B4,서울시,서초구
대구종합,1966,B40,대구시,수성구
대상,2006,B41,.,.
대성,1999,B42,서울시,강남구
대원종합,2013,B43,.,.
대일,1999,B44,서울시,영등포구
대전제일,1995,B45,대전시,서구
덕수,1994,B46,서울시,강남구
도연,2011,B47,서울시,서초구
동감,2011,B48,대전시,서구
동명,2001,B49,.,.
강남종합,1992,B5,서울시,동작구
동북아에스엘에스,.,B50,.,.
동산,1992,B51,서울시,노원구
동서,1996,B52,서울시,서초구
동성,2011,B53,서울시,광진구
동인천,2003,B54,인천시,남구
동진,.,B55,.,.
동호합동,1993,B56,서울시,강남구
두레,1994,B57,서울시,서초구
두우,1997,B58,서울시,서초구
등대,2004,B59,경기도,평택시
강서,1999,B6,서울시,양천구
디지털,1999,B60,서울시,구로구
로뎀,2013,B61,서울시,강남구
로스타,.,B62,서울시,서초구
로앰,2011,B63,서울시,서초구
로우25,.,B64,인천시,남구
로이씨,2013,B65,서울시,관악구
리앤목,2000,B66,서울시,강남구
마이더스,2014,B67,울산시,남구
명덕,2012,B68,서울시,서초구
명동,1984,B69,서울시,중구
거인,2011,B7,.,.
모란,1988,B70,경기도,성남시
미래,1991,B71,서울시,서초구
미르,2012,B72,서울시,서초구
민아,.,B73,.,.
백제종합,1998,B74,.,.
보나,1983,B75,서울시,서초구
보람,1990,B76,서울시,광진구
부산동부,1998,B77,부산시,연제구
부천종합,1987,B78,경기도,부천시
부평종합,1993,B79,.,.
거화,2013,B8,.,.
북부합동,1985,B80,서울시,도봉구
비전인터내셔널,2005,B81,서울시,서초구
비트,2015,B82,서울시,강남구
빛가온,2013,B83,.,.
빛고을종합,2004,B84,전라남도,해남군
사랑,1999,B85,서울시,강남구
산우,2016,B86,서울시,서초구
삼덕,1983,B87,부산시,연제구
삼송,2016,B88,서울시,서초구
삼영,2003,B89,충북,청주시
건산,2012,B9,서울시,서초구
삼화,2010,B90,서울시,강남구
삼흥종합,1998,B91,서울시,강남구
상록,1998,B92,서울시,서초구
상생,2012,B93,대전시,서구
상원,2014,B94,경상북도,포항시
새대구,1999,B95,경상북도,의성군
서면,1981,B96,부산시,부산진구
서울종합,1991,B97,서울시,서초구
서일,2016,B98,서울시,강남구
서원,1986,B99,서울시,서초구
국민,2007,F1,서울시,광진구
해원,2012,F10,부산시,연제구
정립,2011,F100,서울시,서초구
로비즈,2008,F101,경기도,안산시
로월드,2008,F102,서울시,서초구
가율,2011,F103,서울시,서초구
메리트,2008,F104,서울시,서초구
그들로,2014,F105,.,.
온고을,2013,F106,전라북도,전주시
매헌,2014,F107,서울시,서초구
예지,2013,F108,서울시,강남구
산호,2010,F109,서울시,서초구
링컨로펌,2012,F11,.,.
씨앤아이,2011,F110,대전시,서구
안민,2009,F111,서울시,구로구
평원,2015,F112,서울시,강남구
저스티스,2012,F113,서울시,서초구
써밋,2013,F114,서울시,강남구
인,2012,F115,서울시,강남구
대전합동,2012,F116,대전시,서구
민심,2015,F117,부산시,연제구
서울센트럴,2011,F118,서울시,서초구
알파로,2014,F119,경기도,성남시
대한,2007,F12,서울시,동작구
호성,2010,F120,경기도,수원시
이로운,2012,F121,서울시,서초구
바로법률,2012,F122,서울시,서초구
혜안,2011,F123,서울시,서초구
정림,2014,F124,경상남도,창원시
수목,2008,F125,서울시,서초구
정담,2009,F126,서울시,서초구
한덕,2008,F127,서울시,서초구
중정,2012,F128,서울시,강남구
태승,2007,F129,서울시,서초구
정평,2009,F13,서울시,서초구
광안,2013,F130,서울시,강남구
상상,2010,F131,서울시,영등포구
봄,2009,F132,서울시,강남구
새암,2014,F133,서울시,서초구
엘케이비앤파트너스,2012,F134,서울시,서초구
평정,2011,F135,경기도,안산시
홍주,2007,F136,충남,홍성군
서울중앙,2007,F137,서울시,서초구
의성,2015,F138,서울시,서초구
일호,2013,F139,서울시,서초구
백두,2009,F14,서울시,서초구
청림,2011,F140,서울시,서초구
로앤,2010,F141,서울시,강남구
시율,2014,F142,광주시,동구
심연,2013,F143,서울시,서초구
성율,2013,F144,서울시,서초구
로윈,2008,F145,.,.
진운,2013,F146,서울시,영등포구
고원,2013,F147,서울시,서초구
진앤김,2012,F148,부산시,해운대구
집현,2015,F149,서울시,서초구
태현,2013,F15,서울시,서초구
사람과사람,2008,F150,서울시,서초구
선인,2014,F151,서울시,서초구
이인,2008,F152,서울시,서초구
참진,2012,F153,서울시,서초구
지인,2010,F154,서울시,도봉구
예율,2012,F155,서울시,강남구
